mode,wins_x,wins_o,draws,rounds,eps,alpha,discount_factor
ia_vs_ia,50.0,40.0,10.0,10,0.5,0.6,0.7
ia[x]_vs_random,60.0,10.0,30.0,10,0.5,0.6,0.7
ia[o]_vs_random,60.0,40.0,0.0,10,0.5,0.6,0.7
ia_vs_ia,59.0,32.0,9.0,100,0.5,0.6,0.7
ia[x]_vs_random,52.0,33.0,15.0,100,0.5,0.6,0.7
ia[o]_vs_random,64.0,26.0,10.0,100,0.5,0.6,0.7
ia_vs_ia,60.2,31.2,8.6,1000,0.5,0.6,0.7
ia[x]_vs_random,61.7,27.4,10.9,1000,0.5,0.6,0.7
ia[o]_vs_random,57.0,30.9,12.1,1000,0.5,0.6,0.7
ia_vs_ia,57.4,30.55,12.05,10000,0.5,0.6,0.7
ia[x]_vs_random,74.08,18.27,7.65,10000,0.5,0.6,0.7
ia[o]_vs_random,43.43,45.03,11.54,10000,0.5,0.6,0.7
ia_vs_ia,57.085,30.012,12.903,100000,0.5,0.6,0.7
ia[x]_vs_random,79.962,13.563,6.475,100000,0.5,0.6,0.7
ia[o]_vs_random,35.214,52.354,12.432,100000,0.5,0.6,0.7
